Cod_CP,Nome_CP,Nome_professione (vedi esempi),Annuncio
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"La risorsa sarà inserita in un contesto dinamico e giovane e affiancherà direttamente il cuoco fornendo supporto durante le fasi di preparazione dei piatti competenze La risorsa ideale è un giovane dinamico che abbia esperienza nel settore culinario, preferibilmente proveniente da scuole ad indirizzo alberghiero. Si richiede: disponibilità part-time (20/25h settimanali); disponibilità a lavorare su turni dal lunedì alla domenica; livello di studio: Diploma scuola superiore o Qualifica professionale."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"La risorsa si occuperà della preparazione dei pasti, delle attività di bar e della gestione delle materie prime. ll profilo ideale deve aver maturato almeno 5 anni di esperienza come aiuto-cuoco/a nel settore della ristorazione. Completano il profilo la forte predisposizione al contatto con il pubblico e la disponibilità a lavorare su turni prefestivi e festivi. La risorsa deve avere ottime doti manuali e gestionali e soprattutto passione per il settore. È richiesto attestato HACCP in corso di validità e attestato sulla sicurezza generale. Orario di lavoro: Part Time 24/30 ore settimanali. Si Offre contratto a termine per previsione della copertura della stagione estiva."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco / Aiuto cuoco,"Per la nuova apertura della burger&steak house più amata d'Italia ricerchiamo operatori di cucina. Ti piacerebbe lavorare nel mondo della ristorazione? Sei un cuoco o un aiuto cuoco? Vivi a L'Aquila? Allora abbiamo l'opportunità lavorativa che fa al caso tuo! Responsabilità: Dovrai avere esperienza nella ristorazione veloce o classica di almeno 6 mesi consecutivi in contesti di ristorazione commerciale (no mense). Dovrai, inoltre, essere disponibile anche a ruoli operativi (griglia, lavaggio, impiattamento) e disponibile a lavorare in un contesto standardizzato con menù prestabiliti. Dovrai avere le seguenti competenze: Manualità ai fornelli; Accuratezza e precisione nel lavoro; Forti capacità organizzative e gestionali; Resistenza allo stress e alla fatica. Si offre un contratto iniziale a chiamata per i primi due mesi, in seguito, se le persone si dimostrano valide saranno confermate a tempo determinato. Nelle prime settimane di contratto è prevista la formazione iniziale full time di 3/4 settimane on the job a carico dell'azienda. Inviaci il tuo curriculum cliccando su candidati: se il tuo curriculum è in linea con la posizione ti daremo riscontro entro 5 giorni."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"Randstad Italia, filiale di Città di Castello, sta ricercando per struttura ricettiva di lusso, chefs de rang esperti e con disponibilità immediata. Responsabilità: le risorse si occuperanno di coordinare i propri ranghi, di ricevere gli ospiti, della mise en place e del servizio ai tavoli, fornendo massima attenzione e cura nei confronti dei clienti.  Competenze: si richiedono esperienza pregressa nella mansione, preferibilmente in realtà di lusso, diploma o laurea, conoscenza fluente della lingua inglese, ottima capacità di lavorare in team, disponibilità a lavorare full time, festivi compresi. Completano il profilo cura del dettaglio, eleganza nel porsi e spirito d'iniziativa. Livello di studio: Diploma scuola superiore o Qualifica professionale"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Commis di cucina,"Per la sala di una prestigiosissima Azienda Fashion&Luxury. Ricerchiamo 1 Commis de Rang che supporti lo Chef de Rang in questa esclusiva e raffinata struttura dove convivono tre format diversi: la caffetteria, il ristorante e il luonge bar. Responsabilità: tra le attività del commis di sala troviamo: la preparazione dei tavoli, l’organizzazione della mise en place del ristorante, la spola tra la sala da pranzo e le cucine per servire i piatti ai tavoli. Competenze: Il/la candidato/a ideale deve aver maturato esperienza pregressa nel settore, possiede ottime doti relazionali e comunicative in un contesto esclusivo. Parla fluentemente la lingua inglese. Sede di lavoro: Milano. Si offre un contratto full time con due tipologie di turni su 5 giorni, spezzato per 2 giorni e continuo per 3, per un tempo determinato diretto con l’Azienda con prospettiva di assunzione a TI. Livello di studio: Licenza media"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,La filiale di montecchio maggiore sta selezionando uno chef executive per importante realtà del settore catering nel vicentino. Responsabilità: il candidato avrà le seguenti responsabilità: sviluppo del menù da proporre secondo la filosofia aziendale; selezione e coordinamento delle risorse in servizio; supervisione e monitoraggio delle procedure Haccp; monitoraggio e analisi del conto economico mensile; controllo qualità dei prodotti; gestione dei fornitori; competenze. Il candidato ideale presenta le seguenti caratteristiche: ha maturato almeno biennale nella mansione richiesta o ruolo similare; è disponibile a lavorare su turni spezzati; ha coordinato una brigata complessa; buona conoscenza della lingua inglese; buone capacità in cucina.Si offre contratto diretto in azienda tempo indeterminato. Livello di studio: Diploma scuola superiore o Qualifica professionale
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"Ricerchiamo Cuoco con esperienza di almeno 3 anni nel settore della ristorazione collettiva (catering, mense aziendali, scolastiche ecc. ). La persona si occuperà di organizzare le attività della cucina. Richiesto diploma in ambito ristorazione, conoscenza delle tecniche di conservazione, HACCP, rapidità, leadership, autocontrollo e collaborazione. Si offre contratto a tempo determinato di somministrazione con possibilità di inserimento in azienda. Si richiede: Esperienza pregressa nella mansione o provenienza dalla ristorazione collettiva; Disponibilità a lavorare su turni dal lunedì alla domenica; Possesso di attestato HACCP; Automuniti. Il processo di selezione avverrà attraverso un iniziale screening di cv e quelli che risulteranno idonei e corrispondenti alle caratteristiche richieste, saranno contattati per la verifica di un fattivo interesse all'opportunità confrontandosi direttamente con il cliente. Orario di lavoro: FULL TIME SU TURNI"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Sous Chef,"Sous Chef esperto. Principali mansioni da svolgere :  gestione della cucina e del personale, supervisionare il lavoro dei colleghi facendo riferimento all' Executive Chef; assegnare i compiti e i turni di lavoro e pianifica le preparazioni; monitorare le postazioni e le linee di lavoro e si assicura del buon funzionamento degli utensili e dei macchinari di cucina essenziali per la buona riuscita delle portate; Assistenza allo chef nella creazione e progettazione dei menù in conformità con gli standard aziendali; supervisione del magazzino: scelta dei fornitori,ordina le materie prime e gestione dello stoccaggio delle scorte alimentari in dispense e celle frigorifere; Rappresentare lo chef in sua assenza e sostituirlo in tutte le sue funzioni, quando richiesto; Addestramento del personale sui metodi adeguati di gestione e conservazione degli alimenti rimanenti, in modo da controllare il costo del cibo. Il profilo ideale è in possesso dei seguenti requisiti: indispensabile esperienza pregressa nel ruolo; Certificazione HACCP; Disponibilità al lavoro full time da Lunedì a Sabato; Patente B; Leadership e capacità decisionali; Buone doti comunicative e relazionali; Capacità di identificare e risolvere rapidamente i problemi; Capacità di lavorare sotto pressione; Team working"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"Tirocinante aiuto cuoco/cuoca. La risorsa, in riporto diretto allo chef, si occuperà: preparazione piatti (dall'antipasto al dolce); cura dell'impiattamento; utilizzo affettatrici ed altri utensili da cucina. Il candidato ideale, appassionato alla cucina deve essere in possesso del diploma alberghiero. Completano il profilo abilità nel gestire varie operazioni contemporaneamente, lavoro di squadra e spiccate doti organizzative. Si propone inserimento iniziale in tirocinio di 6 mesi finalizzato all'inserimento diretto. Si richiede disponibilità full time, weekend e festivi."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"Prestigioso cliente del settore nautico ricerca chef de rang. La risorsa dovrà occuparsi della supervisione della struttura, accoglienza e gestione delle prenotazioni dei clienti si dovrà costantemente interfacciare con la cucina e gestire gli incassi. Viene richiesta esperienza pregressa nella mansione di almeno 3/4 anni. Contratto di lavoro a tempo determinato da maggio a settembre"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"La persona da inserire dovrà aver avuto un percorso accademico in linea con la professione da svolgere (Pref. ALBERGHIERO). In affiancamento al Tutor, il/la Tirocinante andrà: a maturare tutte le competenze atte a svolgere le mansioni preliminari di preparazione delle materie prime, nel rispetto dei tempi assegnati e sulla base del piano di lavoro ricevuto; a preparare i semilavorati; a maturare abilità nell'allestimento dei piatti, porzionando e distribuendo le pietanze nel rispetto delle regole di standard di allestimento. Requisiti: Diploma in linea con la mansione da svolgere; Automunita/o; Ottimo standing personale. Turno di lavoro: 40 h settimanali, suddivise tra pranzo e cena. Retribuzione 600 euro. FLESSIBILITA'. PROBLEM SOLVING"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"Hai lavorato come addetto alla griglia? Ti piacerebbe inserirti in un posto dinamico e con possibilità di crescita? Randstad ti sta cercando. Randstad Italia, filiale di Genova, seleziona per cliente un aiuto cuoco. Responsabilità: la risorsa selezionata sarà responsabile delle preparazioni dei secondi piatti. Competenze: Sei il candidato ideale se: hai lavorato anche per poco come aiuto cuoco; sei fortemente interessato al mondo della ristorazione; abiti vicino al centro di Genova. Livello di studio: licenza media"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"Per prestigiosa struttura alberghiera selezioniamo Chef de Rang con esperienza nel ruolo. Il/la candidato/a ideale ha esperienza pregressa nel ruolo maturata in contesti Alberghieri e/o Ristorativi di alto livello. La risorsa si occuperà di: allestire la sala, accogliere i clienti, prendere le ordinazioni e consigliare cibi e bevande curando con professionalità le esigenze del cliente. Buone doti organizzative, resistenza allo stress affidabilità e cortesia ne completano il profilo, inoltre si richiede la disponibilità a lavorare sul doppio turno Si richiede fluente conoscenza della Lingua Inglese."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"La risorsa dovrà occuparsi della stesura del menù, coordinare personale in carico, formare lo stesso personale e supervisionarlo. Disponibilità e flessibilità oraria. Scopo assunzione. Lingue conosciute: Francese; Inglese. Competenze: Cucina - Supervisione alla preparazione di pietanze; Cucina - Preparazione di pietanze; Cucina - Tecniche alimentari; Economato - Gestione acquisti alberghieri; Cucina - Cucina internazionale; Cucina - Cucina regionale italiana; Cucina - Preparazione pietanze fredde; Cucina - Allestimento pietanze; Gestione alberghiera - Tecniche di organizzazione alberghiera; Gestione alberghiera - Marketing della ristorazione; Cucina - Decorazione pietanze; Cucina - Esperienze in hotel; Sala - Esperienza in ristorante; Disponibilità oraria: Totale "
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"Adecco T&F ricerca per realtà cliente un/una cuoco cucina giapponese. Si richiede: diploma/qualifica alberghiera, pregressa esperienza nella mansione in ristoranti cucina giapponese, attestato HACCP in corso di validità. Si offre: contratto determinato con possibilità di inserimento in azienda, full time o part time su turni anche notturni. Luogo di lavoro: Ferno (VA). Disponibilità oraria: Full Time"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"Per prestigiosa struttura alberghiera ricerchiamo chef de rang. La risorsa coordinerà i commis the rang, assicurando un corretto ed eccellente servizio di ristorazione. Ha una comprovata esperienza in Hotel di Lusso o presso ristoranti di pari livello. Possiede ottime doti organizzative, capacità di coordinamento e supervisione e ha una spiccata sensibilità per il dettaglio. Viene richiesto buona conoscenza della lingua inglese. "
5.2.2.1.0,Cuochi in alberghi e ristoranti,Pasticcere,"La risorsa sarà inserita all’interno del laboratorio dando supporto al capo cuoco nella preparazione dei prodotti dolciari e panificati. Il candidato ideale possiede titolo di studio in linea con la mansione: alberghiero, addetto alla ristorazione o simili ed ha maturato precedente esperienza come banconista di panificati o pasticceria o come aiuto cuoco. Gradito il possesso dell’attestato HACCP. Si valutano preferibilmente candidati con buone capacità relazionali, organizzazione ed empatia con il cliente ed in grado di gestire autonomamente il lavoro dopo un primo periodo di affiancamento. Richiesta disponibilità a lavorare nel weekend e nei giorni festivi. Si offre iniziale contratto in somministrazione, scopo assunzione. Orario di lavoro: Full time."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"Prestigiosa struttura alberghiera di lusso ricerca chef de rang. La risorsa si occuperà di: allestire la sala, accogliere i clienti, prendere le ordinazioni e consigliare cibi e bevande curando con professionalità le esigenze del cliente. Buone doti organizzative, resistenza allo stress affidabilità e cortesia ne completano il profilo. Si offre contratto stagionale. Orari di lavoro: full time su turni"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"Prestigioso cliente operante nel settore nautico ricerca aiuto cuoco. La risorsa supporterà il cuoco nella preparazione di primi, secondi, contorni e dolci della tradizione partenopea. Viene richiesta esperienza pregressa nella mansione di almeno tre anni. Disponibilità a lavorare su turni. Si offre contratto a tempo determinato da maggio a settembre."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco Capo partita,CUOCO CAPO PARTITA da inserire presso un punto ristoro all'interno del centro commerciale di Limbiate. Il/la candidata/candidato selezionata/selezionato ricoprirà le seguenti mansioni: responsabilità diretta della gestione dei tempi di funzionamento della cucina e dello stoccaggio; Gestione della brigata (supervisione e gestione del personale di cucina); Organizzazione della produzione alimentare; Gestione della pulizia della cucina durante ed al termine di ogni servizio; Supervisione e controllo degli alimenti serviti; Gestione della merce e del magazzino Monitoraggio degli ordini. La risorsa ideale ha esperienza pregressa nella mansione di almeno 3 anni ed è in possesso di attestato HACCP si chiede disponibilità a lavorare su turni spezzati e nei festivi. Si offre iniziale contratto a termine.
5.2.2.1.0,Cuochi in alberghi e ristoranti,Gelatiere,Addetto al banco/Gelataio appartenente alle Categorie Protette (Art.1 L. 68/99). La risorsa verrà inserita direttamente nel punto vendita di riferimento e riporterà allo store manager competente. Nello specifico le sue mansioni saranno: gestione del banco Gelato con preparazione dello stesso; gestione del cliente dalla fornitura del servizio/gelato fino al pagamento in cassa; cassa; supporto nella gestione del punto vendita; Sono richiesti i seguenti requisiti: appartenenza alle Categorie Protette (art. 1 L. 68/99); disponibilità per part time 21 ore con possibile lavoro supplementare. Disponibilità a lavorare su 2 turni. Flessibilità nella gestione dei turni
5.2.2.1.0,Cuochi in alberghi e ristoranti,Gelatiere,"Gelataio/a. Il lavoro: La risorsa inserita si dedicherà alla gestione della clientela e cura del banco. Dovrà inoltre occuparsi della preparazione del prodotto, rispettando gli standard di qualità stabiliti dall'azienda. Il contratto: Si offre contratto a tempo determinato, in somministrazione. Si richiede disponibilità a lavorare nei weed-end. Il profilo: Il/la candidato/a ideale ha già maturato pregressa esperienza nella mansione. Completano il profilo: attitudini alle relazioni interpersonali, capacità di lavorare in team e proattività."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Pizzaiolo ,"PIZZAIOLO. Il lavoro: La risorsa svolgerà l'attività di pizzaiolo, dimostrando di essere autonomo nello svolgere il lavoro in quanto non è previsto affiancamento. Non è necessario preparare l'impasto, ma la stesura dello stesso, con relativa farcitura e cottura. Iniziale inserimento in somministrazione con possibilità di assunzione diretta da parte del cliente. Richiesta disponibilità sul seguente orario: dal giovedì alla domenica dalle 18 alle 22 circa. Il profilo: Il candidato ideale ha maturato una consolidata esperienza nella mansione. Completano il profilo saper gestire bene il tempo e sapersi relazionare con la clientela all' occorrenza."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Pizzaiolo ,"PIZZAIOLO/A. La figura ricercata si dovrà occupare di: preparare l’impasto per la pizza; stendere e farcire le pizze con gli ingredienti previsti dalla ricetta; gestire la cottura della pizza; sfornare la pizza e prepararla per essere servita o venduta; curare la pulizia del bancone (zona impasti e zona forno) e la manutenzione ordinaria del forno e degli utensili da cucina, nel rispetto delle norme igieniche vigenti; coordinarsi con il personale di sala. Il profilo: Il/la candidato/a ideale rispetta i seguenti requisiti: conoscenza, anche minima, del ruolo; provenienza dal settore ristorazione; disponibilità al lavoro nei weekend e festivi; disponibilità a lavorare su turni anche spezzati; capacità organizzative e di problem solving; velocità e precisione nell’esecuzione; propensione al lavoro in team. Il contratto: si offre contratto full time commisurato all’esperienza della risorsa."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Pizzaiolo ,"PIZZAIOLO per le stagioni estive continuative indicativamente da metà marzo a metà ottobre. Il candidato lavorerà in una pizzeria a gestione famigliare relazionandosi direttamente coi due titolari e utilizzerà in autonomia il forno a legna per la preparazione delle pizze. Richiesta esperienza nella: preparazione, guarnizione, cottura e impiattamento delle pizze. Richiesta conoscenza nella gestione e conservazione degli alimenti, nella tenuta, cura e pulizia del proprio piano di lavoro. Richiesta disponibilità a orario di lavoro full time sugli orari di pranzo e cena, oppure tra le 16 e le 23 da mercoledì a lunedì comprensivo dei fine settimana, delle domeniche e dei giorni festivi. Verranno valutati candidati domiciliati entro i 30 chilometri da Domaso e anche residenti in altre zone, sebbene non è prevista la fornitura dell'alloggio."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"La figura ricercata si occuperà della preparazione pasti ed aiuto in cucina. Si richiede il conseguimento del diploma professionale in servizi per l'enogastronomia/ diploma alberghiero. Gradita esperienza pregressa nel ruolo, anche minima. Completano il profilo voglia di mettersi in gioco ed ambire ad una crescita professionale. Orario di lavoro Full- time. Contratto di lavoro a tempo determinato con prospettiva"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Pizzaiolo ,Si offre contratto diretto presso il cliente con orario full time. Responsabilità: il candidato dovrà essere autonomo nella gestione del forno a legna e nella la preparazione delle pizze. Competenze: sono richieste: conoscenza nella gestione e conservazione degli alimenti; capacità di lavoro in autonomia; esperienza pregressa di almeno due anni; Livello di studio: diploma scuola superiore o Qualifica professionale
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,Cuoco che abbia maturato esperienza in un contesto di mensa scolastica. Si offre contratto di inserimento a tempo determiato per 2 mesi. Lingue conosciute: Francese; Inglese. Competenze: Cucina - Supervisione alla preparazione di pietanze; Cucina - Preparazione di pietanze; Cucina - Tecniche alimentari; Progettazione / Disegno tecnico - Microsoft Office; Cucina - Cucina internazionale; Cucina - Cucina regionale italiana; Cucina - Preparazione pietanze fredde; Cucina - Pulitura pesce; Cucina - Pulitura carni; Cucina - Allestimento pietanze; Cucina - Decorazione pietanze; Cucina - Esperienze in hotel; Sala - Esperienza in ristorante; Disponibilità oraria: Totale disponibilità ; Patente: B; Mezzo di trasporto: Auto
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,Il candidato si occuperà della preparazione di piatti freddi e caldi. Sono richiesti i seguenti requisiti: esperienza di almeno 2 anni nella mansione; disponibilità a lavorare nei week end; flessibilità oraria; disponibilità immediata. Durata del contratto: Da valutare. Orario: turni unici e spezzati. Stipendio: 18.000€ - 24.000€ Lordi/anno
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"Per nuova apertura di realtà di ristorazione in apertura su Milano Rho (MI), ricerchiamo n. 1 AIUTO CUOCO. Si richiede: esperienza nella mansione; disponibilità a lavorare full-time su turno spezzato; dimestichezza nella lavorazione del pesce; disponibilità a lavorare su turno spezzato o turno unico; residenza in zona; conoscenza degli standard di servizio. Si propone contratto di lavoro full-time, scopo assunzione."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"Per importante realtà di ristorazione in zona Venezia (VE), ricerchiamo n. 1 CUOCO. Si richiede: precedente esperienza maturata nel ruolo; autonomia nella gestione della cucina e del personale di cucina; capacità di gestione di 100 coperti con menù alla carta; disponibilità a lavorare su turno spezzato; conoscenza della cucina locale; propensione al lavoro di squadra; residenza nei pressi del luogo di lavoro. Si propone contratto di lavoro full-time scopo assunzione."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,Cuoco/a oppure aiuto cuoco. La risorsa dovrà occuparsi della preparazione dei pasti e delle diverse attività riguardanti la cucina. Requisiti: Esperienza pregressa nel ruolo; Disponibilità a lavorare part.-time su turni; Disponibilità al lavoro nel weekend. ORARIO DI LAVORO: Part-time
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"Cuochi-aiuto cuochi esperti in tutte le preparazioni. Richiesta disponibilità dal lunedì alla domenica, martedì giorno di riposo. Inizialmente si lavorerà solo a cena nella fascia oraria dalle 18.00 alle 24.00, con la stagione estiva si lavorerà anche a pranzo."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"Cuoco e Aiuto Cuoco per Castellammare Del Golfo. Si richiede: esperienza nella medesima mansione, conoscenza delle norme haccp, ottima conoscenza delle tecniche di conservazione, preparazione e cottura dei cibi, vasta conoscenza delle tecniche di trattamento dei cibi quali congelamento, raffreddamento e cottura, conoscenze culinarie e gastronomiche, ottime competenze nell'utilizzo di tutti gli strumenti tecnologici in cucina, capacità di garantire e mantenere alti standard di igiene."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco Capo partita,HOTEL 4**** di COMO 1 CUOCO CAPO PARTITA / AIUTO CUOCO PER EVENTI EXTRA. La risorsa si occuperà di: gestire e coordinare le attività all'interno della cucina e nella preparazione delle partite; Preparare e gestire la brigata nella partita assegnata. Il candidato ideale ha maturato una pregressa esperienza nella ristorazione alberghiera preferibilmente presso Hotel 4* o 5*. Orario di lavoro su turni unici ad esempio 09:00-17:30 / 15:00-23:30 oppure spezzati 11:00-15:00/18:30-23:00. Si richiede massima disponibilità a lavorare con contratti giornalieri in base alle necessità. Possibilità di successivo inserimento diretto con la struttura con contratto annuale. DISPONIBILITA' IMMEDIATA AL LAVORO A PARTIRE DA LUNEDI' 24 FEBBRAIO. Residenza nella zona di Como e limitrofi.
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,CUOCO / AIUTO CUOCO da inserire per prossima apertura su Milano. La risorsa dovrà aver maturato 2 - 5 anni di esperienza in ruolo analogo e dovrà essere in grado di lavorare in autonomia occupandosi di preparazioni semplici seguendo le istruzioni ed indicazioni dell'Executive Chef. Orario di lavoro full-time. Si offre iniziale periodo di formazione / training a Roma con la previsione di proseguire il rapporto lavorativo a Milano una volta aperta la struttura. Richiesta disponibilità immediata. Residenza in zona Milano o limitrofi.
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"AIUTO CUOCO. La risorsa sarà inserita all'interno di un contesto dinamico e stimolante e dovrà occuparsi di tutte le attività di affiancamento e supporto alla preparazione dei piatti. Al fine di assolvere al meglio alla mansione, si richiede: pregressa esperienza nel ruolo di cuoco/aiuto cuoco/addetto mensa; buona predisposizione al contatto con il pubblico e al lavoro in team; flessibilità oraria e disponibilità ad effettuare turni spezzati (pranzo e cena); preferibile possesso di titolo di studio ad indirizzo Alberghiero. Si offre contratto di lavoro a tempo determinato in somministrazione con possibilità di proroghe ed inserimento diretto in azienda."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,AIUTO CUOCO. Per realtà operante nel settore Ristorazione. Mansioni: Supporta il cuoco nella preparazione delle portate; Si occupa della preparazione degli ingredienti e pulizia delle verdure; Rifornisce la dispensa e le celle frigorifere su indicazione del cuoco. Requisiti: Gradita anche breve esperienza nel ruolo; Necessaria disponibilità e flessibilità oraria; Richieste buone capacità organizzative. Contratto: iniziale tempo determinato finalizzato alla stabilizzazione. Disponibilità oraria:Turni
5.2.2.1.0,Cuochi in alberghi e ristoranti,Chef,"CUOCO/CHEF ANTARTIDE (1 anno di Permanenza). Il candidato prescelto parteciperà alla prossima missione in Antartide e sarà responsabile del personale di cucina per la durata complessiva di circa 1 anno (da Novembre 2020 a Novembre 2021) presso la Base ""Concordia"". Il Cuoco/chef prepara, da solo o con la collaborazione del personale di cucina (quando presente), l'intera gamma delle vivande (dal pane fino ai dolci) per la corretta alimentazione del personale partecipante alla Spedizione nella Stazione di competenza. Si richiede personale con esperienza (minimo 7 anni) in cucina internazionale con buona capacità organizzativa nella gestione della cucina e del magazzino viveri, in possesso di Attestato HACCP. Specifiche mansioni in campo: Il Cuoco/chef, gestisce l'intera gamma delle risorse alimentari della Stazione: materie prime, semilavorati e prodotti finiti. È responsabile del buon uso e manutenzione ordinaria di forni, celle frigorifere, altre attrezzature e utensili di cucina. È responsabile dell'esecuzione delle operazioni di sanificazione utilizzando procedure e concentrazioni corrette, rispettando la normativa HACCP. È responsabile della realizzazione di duplice varietà di pietanze di un menù standard (4 portate) nel rispetto delle ricette e grammature predefinite (primo, secondo, contorni e frutta). Cura la preparazione di tre pasti giornalieri, indicativamente nei seguenti orari: colazione 7:30-8:00, pranzo 12:45-13:45, cena 20:00-21:00. Aggiorna e redige, periodicamente ed a fine Campagna, l'inventario del magazzino viveri. Partecipa come tutto il personale, ai compiti collettivi che contribuiscono al buon funzionamento della Stazione e delle installazioni (turni di pulizia della Stazione, pulizia cucina, sala da pranzo, gestione rifiuti ecc?) Si precisa che sarà richiesta documentazione comprovante l'esperienza maturata e che verrà corrisposta la retribuzione spettante ai dipendenti diretti dell'Ente di Ricerca alla quale verranno aggiunta la diaria e le indennità spettanti a coloro i quali svolgono la missione Antartica. Luogo di Lavoro: Base Concordia (ANTARTIDE) partenza prevista per Novembre 2020"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco in dietetica,"Per azienda cliente stiamo cercando un cuoco da inserire in una mensa ospedaliera al Meyer di Firenze. La risorsa presterà servizio per sei giorni a settimana, lavorando a rotazione il sabato o la domenica. La risorsa seguirà il seguente orario: la mattina nella fascia 07,30-11,30 E il pomeriggio nella fascia 16-17,30, durante il quale si occuperà della preparazione di diete e pasti sanitari. Richiesta esperienza pregressa come cuoco per le diete. Si offre contratto in somministrazione finalizzato all'inserimento in azienda."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"AIUTO CUOCO per bar-pub a Perugia, zona Ponte San Giovanni. La risorsa inserita starà a stretto contatto con il cuoco. Orario di lavoro: pranzo e/o cena. Stipendio: 900€ - 1.200€ Netti/mese"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"Ricerchiamo per azienda cliente settore Grande Distribuzione Organizzata un addetto al reparto cucina/pescheria. La risorsa deve avere maturato pregressa esperienza come cuoco o aiuto cuoco e saper cucinare altresì pietanze a base di pesce. Completano il profilo disponibilità al lavoro in orario spezzato e nel fine settimana. Turno della Domenica fino le ore 13:00. Residenza o domicilio zone ceramiche o strettamente limitrofe (Scandiano, Albinea, Sassuolo, Formigine, Rubiera, Castellarano). Automunito e disponibile nell'immediato. Iniziale inserimento in somministrazione con possibilità di inserimento a lungo termine da parte dell'azienda cliente."
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"CUOCO/A CON ESPERIENZA PER MENSA. La risorsa inserita si occuperà di: Ricevere le derrate alimentari e non alimentari; Gestire gli ordini e le scorte alimentari presenti nei magazzini; Garantire il rispetto del manuale Haccp; Preparare i pasti per il servizio del pranzo e della cena; Coordinare il personale di servizio per la gestione dei turni. REQUISITI: Il candidato ideale è un cuoco o una cuoca con esperienza nella mansione, autonomo/a nella gestione della cucina, degli ordini con i fornitori e nella preparazione dei pasti. Si offre: contratto a tempo determinato. Orario di Lavoro: 35 ore settimanali, dal lunedì al venerdì"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Aiuto Cuoco,"Per Casa di Riposo sita in vicinanze Chiavenna Landi, si ricerca cuoco o cuoca disponibile 30h settimanali su turni prevalentemente pomeridiani (15-20) dal lunedì al sabato e la domenica a rotazione. La risorsa dovrà supportare il Capo Cuoco attualmente in forza nella preparazione pasti e gestione della cucina. Iniziale contratto con agenzia e in seguito inserimento diretto"
5.2.2.1.0,Cuochi in alberghi e ristoranti,Cuoco,"CUOCO per STRUTTURA in zona PAVULLO NEL FRIGNANO (MO). La risorsa individuata, a capo di una squadra di tre unità, si occuperà di: preparazione e cottura dei pasti (circa 120), coordinamento e aiuto pulizia, trasmissione ordini, responsabilità piano HACCP, referente della Direzione. Requisiti richiesti: esperienza nel ruolo maturata in contesti collettivi quali: mense o struttura sanitarie o villaggi turistici; disponibilità a partire da inizio aprile; disponibilità a turni spezzati. Orario di lavoro: 30 ore settimanali dal lunedì alla domenica con riposo il sabato o la domenica. Contratto offerto: iniziale contratto di somministrazione a tempo determinato. Scopo assunzione."
